"Date
(YY:MM:DD)","Time
(HH:MM:SS)","Time
(µs)","Ax
(m/s^2)","Ay
(m/s^2)","Az
(m/s^2)","Gx
(deg/s)","Gy
(deg/s)","Gz
(deg/s)",label
05-12-22,13:15:49,230943,0.232237561,0,9.981426721,0.038167939,-1.175572519,-1.190839695,0
05-12-22,13:15:49,440475,0.502782349,1.118092175,9.153032947,0.374045802,-3.633587786,-0.755725191,0
05-12-22,13:15:49,649648,-0.301669409,0.203507141,12.57434712,0.183206107,1.58778626,-1.20610687,0
05-12-22,13:15:49,859778,0.612915625,1.175553015,10.07958899,-0.022900763,-0.755725191,0.061068702,0
05-12-22,13:15:50,68878,0.928950244,0.979228479,8.978256226,0.099236641,1.511450382,-1.160305344,0
05-12-22,13:15:50,277825,0.900219824,-0.574608398,9.679757312,0.061068702,1.427480916,-0.801526718,0
05-12-22,13:15:50,486426,0.62009823,0.366312854,9.2296474,-0.244274809,1.938931298,-1.038167939,0
05-12-22,13:15:50,695087,0.847547388,0.469263525,9.452308154,0.190839695,0.404580153,-0.580152672,0
05-12-22,13:15:50,903137,0.244208569,0.351947644,9.947907898,-0.122137405,-0.717557252,-2,0
05-12-22,13:15:51,111171,-0.335188232,0.938527051,10.59673655,0.328244275,-0.595419847,-0.93129771,0
05-12-22,13:15:51,319332,1.21146604,0.53390697,9.291896643,0.114503817,0.702290076,-0.961832061,0
05-12-22,13:15:51,527647,0.713472095,0.493205542,9.543287817,-0.099236641,0.236641221,-1.580152672,0
05-12-22,13:15:51,735679,0.979228479,0.495599744,9.909600671,-0.045801527,-0.381679389,-1.679389313,0
05-12-22,13:15:51,943939,1.786074438,0.189141931,9.327809668,0.267175573,0.770992366,-1.679389313,0
05-12-22,13:15:52,152122,-0.991199487,0.62009823,10.14902084,0.534351145,-0.702290076,-1.603053435,0
05-12-22,13:15:52,359988,0.46208092,0.641646045,9.813832605,0.190839695,-2.763358779,-0.732824427,0
05-12-22,13:15:52,568226,1.043871924,0.529118567,9.150638745,-0.167938931,1.015267176,-1.938931298,0
05-12-22,13:15:52,776400,4.347870215,-0.270544788,4.319139795,0.083969466,4.694656489,-1.641221374,0
05-12-22,13:15:52,984564,0.162805713,1.635239734,9.478644373,0.053435115,-0.366412214,-1.488549618,0
05-12-22,13:15:53,192201,-3.351882324,-0.981622681,11.26471881,-0.091603053,-2.083969466,-1.091603053,0
05-12-22,13:15:53,400303,0.598550415,0.696712683,9.471461768,0.030534351,0.167938931,-1.671755725,0
05-12-22,13:15:53,608851,0.509964954,0.701501086,9.20091698,-0.053435115,-0.236641221,-0.458015267,0
05-12-22,13:15:53,817324,4.453215088,0.847547388,8.10437262,-0.06870229,3.27480916,-0.572519084,0
05-12-22,13:15:54,26234,-1.948880151,0.328005627,11.52808099,-0.282442748,-4.20610687,-1.480916031,0
05-12-22,13:15:54,236013,1.563413684,0.46208092,9.356540088,0.198473282,-0.229007634,-0.946564885,0
05-12-22,13:15:54,445252,0.07182605,0.213083948,9.313444458,-0.022900763,-1.076335878,-0.809160305,0
05-12-22,13:15:54,654804,0.196324536,0.256179578,9.639055884,0.076335878,-0.519083969,-0.778625954,0
05-12-22,13:15:54,867307,1.170764612,-0.299275208,9.28710824,-0.145038168,1.801526718,-0.79389313,0
05-12-22,13:15:55,81913,-0.651222852,0.011971008,10.94150159,-0.106870229,-1.534351145,-0.709923664,0
05-12-22,13:15:55,296507,0.737414111,0.306457813,9.667786304,0.122137405,-0.167938931,-0.732824427,0
05-12-22,13:15:55,510572,1.711854187,-0.052672437,8.228871106,-0.106870229,-2.442748092,-1.282442748,0
05-12-22,13:15:55,725972,1.290474695,-0.574608398,9.469067566,0.183206107,0.06870229,-0.641221374,0
05-12-22,13:15:55,941809,0.428562097,1.386242761,10.75475386,0.251908397,-1.625954198,-0.053435115,0
05-12-22,13:15:56,156383,-0.177170923,0.624886633,9.70609353,-0.190839695,-0.022900763,-0.450381679,0
05-12-22,13:15:56,368837,-0.44771571,0.474051929,10.13944403,-0.221374046,-1.076335878,-1.458015267,0
05-12-22,13:15:56,579484,0.339976636,0.033518823,9.926360083,0.328244275,-1.572519084,-0.664122137,0
05-12-22,13:15:56,790704,1.039083521,0.488417139,9.117119922,0.007633588,0.877862595,-0.648854962,0
05-12-22,13:15:57,1899,0.474051929,0.016759412,9.452308154,0.13740458,-0.648854962,-1.648854962,0
05-12-22,13:15:57,212885,0.708683691,0.162805713,9.449913953,0.41221374,0.93129771,-1.816793893,0
05-12-22,13:15:57,423903,0.069431848,0.105344873,10.00058033,-0.091603053,-1.259541985,-1.13740458,0
05-12-22,13:15:57,634981,-0.232237561,1.079784949,9.660603699,-0.221374046,0.091603053,-1.114503817,0
05-12-22,13:15:57,845992,0.572214197,-0.095768066,10.26873092,0.183206107,-1.519083969,-1.053435115,0
05-12-22,13:15:58,57842,1.209071838,0.957680664,9.574412439,0.465648855,-0.86259542,0.022900763,0
05-12-22,13:15:58,270229,-0.596156213,0.70628949,9.880870251,0.076335878,-0.381679389,-1.72519084,0
05-12-22,13:15:58,482392,-0.984016882,0.438138904,10.50575688,-0.221374046,-0.679389313,-0.244274809,0
05-12-22,13:15:58,694097,0.418985291,0.239420166,9.078812695,0.038167939,-0.27480916,-1.58778626,0
05-12-22,13:15:58,906591,0.766144531,-0.248996973,9.552864624,0.297709924,-0.030534351,-1.320610687,0
05-12-22,13:15:59,119011,1.896207715,-1.199495032,7.218518005,0.419847328,3.297709924,-0.778625954,0
