"Date
(YY:MM:DD)","Time
(HH:MM:SS)","Time
(µs)","Ax
(m/s^2)","Ay
(m/s^2)","Az
(m/s^2)","Gx
(deg/s)","Gy
(deg/s)","Gz
(deg/s)",label
05-12-22,16:58:19,372102,-0.560243188,-0.191536133,9.586383447,0.145038168,-3.893129771,0.122137405,0
05-12-22,16:58:19,584744,-0.948103857,-0.052672437,9.442731348,0.129770992,1.717557252,0.061068702,0
05-12-22,16:58:19,801048,1.470039819,-0.026336218,10.32379756,0.251908397,-0.045801527,-0.992366412,0
05-12-22,16:58:20,14194,-0.019153613,0.960074866,8.808267908,-0.122137405,0.755725191,-0.549618321,0
05-12-22,16:58:20,227605,0.244208569,0.074220251,10.16817445,0.145038168,-0.015267176,-2.244274809,0
05-12-22,16:58:20,441999,-3.689464758,-0.53390697,10.41477722,0.183206107,-5.86259542,1.801526718,0
05-12-22,16:58:20,656416,1.199495032,-0.01436521,9.11472572,0.114503817,-0.404580153,-2.34351145,0
05-12-22,16:58:20,869261,5.588066675,-0.64882865,9.701305127,-0.129770992,1,-0.022900763,0
05-12-22,16:58:21,81910,1.886630908,1.13963999,8.116343628,0.022900763,2.732824427,-2.580152672,0
05-12-22,16:58:21,293625,-1.22583125,2.090138049,10.69968722,0.038167939,-0.664122137,-0.511450382,0
05-12-22,16:58:21,507624,0.727837305,0.746990918,9.832986218,0.030534351,-1.824427481,-0.183206107,0
05-12-22,16:58:21,721587,1.429338391,1.017535706,11.89918225,0.015267176,-0.740458015,-1.870229008,0
05-12-22,16:58:21,936369,-0.316034619,-0.217872351,12.28225452,-0.099236641,0.129770992,-0.740458015,0
05-12-22,16:58:22,148979,-0.782903943,-0.308852014,12.41632981,0.145038168,-2.526717557,-0.557251908,0
05-12-22,16:58:22,360906,-0.335188232,0.076614453,12.21521687,-0.190839695,-1.79389313,-1.175572519,0
05-12-22,16:58:22,573112,-1.134851587,0.193930334,13.43147131,0.007633588,1.572519084,-1.297709924,0
05-12-22,16:58:22,784582,-0.440533105,1.628057129,11.00614503,0.122137405,-0.389312977,-0.801526718,0
05-12-22,16:58:22,996746,0.373495459,0.323217224,10.04128176,0.167938931,-0.480916031,-1.328244275,0
05-12-22,16:58:23,208595,-1.034295117,-0.241814368,11.80101998,0.312977099,-3.847328244,-0.824427481,0
05-12-22,16:58:23,422306,-0.134075293,0.727837305,10.98220302,0.183206107,-0.900763359,-0.748091603,0
05-12-22,16:58:23,634436,1.776497632,-0.067037646,7.625532288,-0.015267176,2.305343511,-1.816793893,0
05-12-22,16:58:23,847158,-0.888248816,1.264138477,11.49456217,0.022900763,-3,0.702290076,0
05-12-22,16:58:24,59404,1.060631335,-0.045489832,8.264784131,-0.007633588,3.847328244,-1.977099237,0
05-12-22,16:58:24,271359,0.586579407,0.474051929,10.03649336,0.229007634,0.389312977,-0.770992366,0
05-12-22,16:58:24,483963,-1.115697974,0.603338818,11.65736788,0.083969466,-0.541984733,0.053435115,0
05-12-22,16:58:24,696116,0.916979236,0.260967981,8.872911353,0.091603053,-1.511450382,-1.702290076,0
05-12-22,16:58:24,908745,0.612915625,0.73501991,10.2423947,0,1.885496183,-1.664122137,0
05-12-22,16:58:25,121572,0.859518396,0.122104285,10.17535706,-0.061068702,1.145038168,-1.244274809,0
05-12-22,16:58:25,333914,0.955286462,0.138863696,9.679757312,0.221374046,-0.335877863,-1.679389313,0
05-12-22,16:58:25,546780,-0.380678064,0.323217224,9.890447058,0.083969466,-0.320610687,-1.603053435,0
05-12-22,16:58:25,759546,1.142034192,0.253785376,9.890447058,-0.038167939,0.86259542,-1.213740458,0
05-12-22,16:58:25,972424,-0.521935962,0.878672009,11.14022032,0.114503817,-0.969465649,-1.671755725,0
05-12-22,16:58:26,185846,1.467645618,0.639251843,9.01416925,0.045801527,2.167938931,-1.335877863,0
05-12-22,16:58:26,398434,0.955286462,0.093373865,9.84974563,0.045801527,0.442748092,-1.045801527,0
05-12-22,16:58:26,610904,-1.367089148,1.83156427,12.66772098,-0.015267176,-2.13740458,0.916030534,0
05-12-22,16:58:26,823619,0.53390697,0.550666382,10.57997714,-0.267175573,-2.061068702,0.34351145,0
05-12-22,16:58:27,35919,0.567425793,0.368707056,9.852139832,0.038167939,0.015267176,-1.061068702,0
05-12-22,16:58:27,248172,0.572214197,0.936132849,8.137891443,0.099236641,3.229007634,-2.381679389,0
05-12-22,16:58:27,460790,-2.619256616,0.940921252,13.8456682,0.335877863,-2.786259542,-1.458015267,0
05-12-22,16:58:27,674365,2.126051074,1.16837041,9.588777649,0.015267176,0.213740458,-0.442748092,0
05-12-22,16:58:27,887116,0.402225879,0.785298145,8.068459595,0.404580153,-2.20610687,-1.954198473,0
